COBACIA,ire_cs_hum
77582427,"0,00"
77582499,"0,00"
77582497,"0,00"
77582474,"0,00"
775824291,"0,00"
775824293,"0,00"
775824292,"0,00"
77582351,"4,10"
77582353,"4,10"
77582352,"4,10"
77582331,"0,00"
775823543,"0,00"
77582243,"0,00"
77582333,"0,00"
775823541,"0,00"
77582314,"0,00"
775823822,"0,00"
775823542,"0,00"
77582315,"0,00"
775823823,"0,00"
775823824,"0,00"
775823892,"0,00"
775826237,"2,70"
775826235,"0,00"
7758256,"0,00"
77582543,"0,00"
77582542,"0,00"
775826234,"0,00"
775826233,"0,00"
775826261,"0,00"
775826253,"0,00"
77582627,"0,00"
775852693,"0,00"
775826292,"0,00"
775826291,"0,00"
775826293,"0,00"
77582628,"0,00"
77582361,"3,40"
77582362,"4,10"
77582363,"2,70"
7758252,"2,70"
7758237,"0,00"
77582356,"0,00"
77582357,"0,00"
77582347,"0,00"
77582344,"0,00"
77582355,"0,00"
77582366,"0,00"
77582367,"0,00"
77582368,"0,00"
77582365,"0,00"
775826243,"0,00"
77582343,"0,00"
77582345,"0,00"
77582342,"0,00"
775848,"0,00"
77582346,"0,00"
77582341,"0,00"
7758498,"4,10"
77584943,"0,00"
77584942,"0,00"
7758499,"0,00"
77584913,"0,00"
7758497,"0,00"
7758496,"0,00"
7758493,"0,00"
7758464,"0,00"
775852643,"0,00"
77584941,"0,00"
7758492,"0,00"
7758495,"0,00"
77585266,"4,10"
77584912,"0,00"
775826242,"0,00"
77582369,"0,00"
7758463,"0,00"
7758467,"0,00"
7758455,"0,00"
7758461,"0,00"
7758465,"0,00"
77584911,"0,00"
77584621,"0,00"
7758471,"0,00"
7758472,"0,00"
77582364,"0,00"
7758473,"0,00"
77585268,"4,10"
775826241,"0,00"
775823821,"4,10"
775823881,"4,10"
775823883,"2,00"
775823891,"4,10"
77582387,"4,10"
7758354,"1,70"
77578272,"1,70"
7758352,"3,10"
77578251,"0,00"
77578256,"2,40"
77578253,"0,00"
775782422,"3,80"
77578255,"0,00"
77578257,"0,00"
77578252,"0,00"
7758351,"3,10"
77578243,"2,40"
775782541,"0,00"
775782423,"0,00"
775837,"3,00"
775782761,"1,70"
775782743,"1,70"
7758353,"0,00"
77578277,"0,00"
7758357,"0,00"
7758355,"0,00"
77578273,"0,00"
77578275,"0,00"
775782742,"0,00"
775782741,"0,00"
77578271,"0,00"
77578261,"0,00"
775834,"0,00"
775782421,"0,00"
7758334,"0,00"
77578239,"0,00"
77578241,"0,00"
7758335,"0,00"
775782762,"1,70"
775838,"1,00"
775782763,"0,00"
77578282,"0,00"
77578291,"0,00"
77578283,"0,00"
77578284,"0,00"
77578281,"0,00"
77578292,"0,00"
775782931,"0,00"
77578285,"1,70"
7758394,"0,00"
7758391,"0,00"
7758392,"0,00"
7758393,"0,00"
775782941,"0,00"
775782953,"0,00"
775782951,"0,00"
775782933,"0,00"
775782952,"0,00"
775782932,"0,00"
77578296,"0,00"
7758511,"0,00"
7758513,"0,00"
7758395,"0,00"
7758514,"0,00"
7758512,"0,00"
775782973,"0,00"
77585151,"0,00"
775782972,"0,00"
77585152,"0,00"
77585153,"0,00"
77578298,"0,00"
775782971,"0,00"
7778573,"5,00"
7778581,"4,10"
7778591,"0,00"
776186955,"3,80"
776186971,"3,80"
77618682,"0,00"
776186973,"0,00"
77618692,"0,00"
776186953,"3,80"
776186991,"0,00"
776186992,"0,00"
776186954,"3,80"
77618684,"0,00"
77618685,"3,80"
776186993,"0,00"
776186995,"4,10"
77618686,"0,00"
776186994,"0,00"
777689,"4,10"
77618698,"0,00"
7776496,"5,00"
776186972,"0,00"
77624469,"0,00"
77624467,"0,00"
77618683,"0,00"
77618662,"0,00"
77618687,"0,00"
7776963,"3,80"
776244652,"0,00"
776244653,"0,00"
776186952,"0,00"
776186951,"0,00"
77618664,"3,80"
77618666,"0,00"
77624452,"0,00"
77624447,"0,00"
77624442,"0,00"
77618663,"3,80"
77624462,"0,00"
7776361,"5,00"
7776363,"5,00"
777637,"5,00"
7776364,"5,00"
7776381,"5,00"
7776382,"5,00"
777634,"5,00"
777651,"5,00"
7776542,"0,00"
777639,"5,00"
7776521,"4,70"
777655,"5,00"
777641,"0,00"
777643,"5,00"
7776441,"4,70"
7776421,"0,00"
7776533,"0,00"
7776531,"0,00"
7776383,"4,94"
77758934,"4,10"
77758774,"5,00"
77758923,"0,00"
77758792,"0,00"
777633,"5,00"
77758772,"5,00"
7776541,"5,00"
7776564,"0,00"
7776545,"0,00"
7776543,"0,00"
7776563,"5,00"
7776544,"0,00"
7776443,"4,70"
7776422,"0,00"
77758922,"0,00"
777321,"4,40"
777322,"3,70"
777325,"4,40"
777212,"3,70"
77734,"4,40"
